bathrooms,floor,price,price_m2,rooms,size,latitude,longitude,floor_was_missing,price_cut
1.0,2.4203319502074687,85000.0,1700.0,2.0,50.0,40.2312091,-3.9942211,True,"(19999.999, 93000.0]"
3.0,2.4203319502074687,270000.0,1551.0,2.0,174.0,40.46702550000001,-3.704126,True,"(257000.0, 288800.0]"
2.0,1.0,157900.0,2255.0,2.0,70.0,40.3241661,-3.8651843,False,"(155000.0, 165000.0]"
1.0,6.0,293000.0,5860.0,2.0,50.0,40.4039957,-3.6999529,False,"(288800.0, 330000.0]"
2.0,5.0,206000.0,2060.0,3.0,100.0,40.3232129,-3.8676291,False,"(190000.0, 209000.0]"
2.0,5.0,412000.0,3404.0,4.0,121.0,40.4266657,-3.5757795,False,"(380000.0, 450000.0]"
1.0,0.0,68900.0,1097.0,1.0,63.0,40.7344198,-3.5798373,False,"(19999.999, 93000.0]"
1.0,1.0,185000.0,2371.0,3.0,78.0,40.3969825,-3.7368147,False,"(178000.0, 190000.0]"
1.0,1.0,440000.0,5569.0,1.0,79.0,40.4132376,-3.7066023,False,"(380000.0, 450000.0]"
1.0,2.4203319502074687,145000.0,1646.9999999999998,3.0,88.0,40.4023233,-3.6059715,True,"(143417.5, 155000.0]"
2.0,0.0,152700.0,1305.0,4.0,117.0,40.4054714,-3.3615643,False,"(143417.5, 155000.0]"
2.0,2.0,501600.0,3373.0,3.0,149.0,40.4090869,-3.8946981,False,"(450000.0, 550000.0]"
1.0,2.4203319502074687,180000.0,2117.0,3.0,85.0,40.5405994,-3.6318623,True,"(178000.0, 190000.0]"
1.0,2.4203319502074687,172800.0,4114.0,1.0,42.0,40.4052621,-3.7055201,True,"(165000.0, 178000.0]"
1.0,2.4203319502074687,110000.0,1964.0,3.0,56.0,40.4846191,-3.3468528,True,"(93000.0, 110000.0]"
1.0,0.0,133380.0,1710.0,3.0,78.0,40.395303322410854,-3.7069464665534797,False,"(124000.0, 133900.0]"
3.0,2.0,1075000.0,5874.0,6.0,183.0,40.4607955,-3.6930134,False,"(715000.0, 1095000.0]"
1.0,6.0,399000.0,5700.0,3.0,70.0,40.435015,-3.7068485,False,"(380000.0, 450000.0]"
2.0,3.0,965000.0,5610.0,4.0,172.0,40.413645,-3.696120699999999,False,"(715000.0, 1095000.0]"
2.0,2.0,248000.0,2431.0,4.0,102.0,40.47271,-3.575715,False,"(230000.0, 257000.0]"
1.0,1.0,135000.0,1646.0,3.0,82.0,40.3464832,-3.8286956,False,"(133900.0, 143417.5]"
1.0,3.0,160890.0,2089.0,3.0,77.0,40.3743883,-3.7326855,False,"(155000.0, 165000.0]"
1.0,3.0,129500.0,1992.0,3.0,65.0,40.3987109,-3.7746045,False,"(124000.0, 133900.0]"
1.0,1.0,220000.0,2340.0,3.0,94.0,40.4690638,-3.5808944,False,"(209000.0, 230000.0]"
1.0,2.4203319502074687,186000.0,4894.0,1.0,38.0,40.4304247,-3.7017557,True,"(178000.0, 190000.0]"
1.0,1.0,142000.0,1893.0,3.0,75.0,40.3084342,-3.7330543,False,"(133900.0, 143417.5]"
2.0,1.0,283000.0,3409.0,2.0,83.0,40.4825516,-3.873980599999999,False,"(257000.0, 288800.0]"
1.0,2.4203319502074687,165000.0,2356.9999999999995,3.0,70.0,40.4739758,-3.5800038,True,"(155000.0, 165000.0]"
1.0,2.0,102000.0,1456.9999999999998,2.0,70.0,40.3867495,-3.6513404,False,"(93000.0, 110000.0]"
1.0,1.0,440000.0,6111.000000000002,1.0,72.0,40.4132376,-3.7066023,False,"(380000.0, 450000.0]"
4.0,3.0,910000.0,3500.0,5.0,260.0,40.483578,-3.6938038,False,"(715000.0, 1095000.0]"
1.0,2.4203319502074687,280000.0,3500.0,2.0,80.0,40.4041921,-3.6777837,True,"(257000.0, 288800.0]"
1.0,2.0,237000.0,3433.9999999999995,1.0,69.0,40.4475675,-3.5803134,False,"(230000.0, 257000.0]"
2.0,2.0,179000.0,2105.0,2.0,85.0,40.3712519,-3.693128799999999,False,"(178000.0, 190000.0]"
1.0,1.0,440000.0,8627.0,1.0,51.0,40.4132376,-3.7066023,False,"(380000.0, 450000.0]"
1.0,1.0,260000.0,4814.0,1.0,54.0,40.4286302,-3.6636203,False,"(257000.0, 288800.0]"
1.0,1.0,83000.0,954000.0,2.0,87.0,40.1402665,-3.4221687,False,"(19999.999, 93000.0]"
4.0,5.0,1800000.0,8910.0,4.0,202.0,40.432906,-3.6834876,False,"(1095000.0, 19220600.0]"
1.0,3.0,175000.0,1750.0,3.0,100.0,40.6077595,-3.5022347,False,"(165000.0, 178000.0]"
1.0,3.0,575000.0,4107.0,4.0,140.0,40.434181,-3.7118537,False,"(550000.0, 715000.0]"
1.0,1.0,742000.0,4666.0,4.0,159.0,40.42193049999999,-3.701791499999999,False,"(715000.0, 1095000.0]"
1.0,0.0,239000.0,2715.0,2.0,88.0,40.4305815,-3.6585984,False,"(230000.0, 257000.0]"
3.0,2.4203319502074687,690000.0,4156.000000000002,4.0,166.0,40.473685,-3.6718324,True,"(550000.0, 715000.0]"
1.0,1.0,440000.0,5238.0,1.0,84.0,40.4132376,-3.7066023,False,"(380000.0, 450000.0]"
2.0,2.0,335000.0,2537.0,3.0,132.0,40.5763741,-3.9328117,False,"(330000.0, 380000.0]"
1.0,4.0,390000.0,3900.0,2.0,100.0,40.4233716,-3.7077922,False,"(380000.0, 450000.0]"
2.0,2.4203319502074687,184813.0,1695.0,3.0,109.0,40.285022,-3.9202917,True,"(178000.0, 190000.0]"
1.0,2.4203319502074687,174000.0,2676.0,2.0,65.0,40.4778195,-3.661428899999999,True,"(165000.0, 178000.0]"
1.0,2.0,220000.0,2444.0,3.0,90.0,40.440814,-3.6094564,False,"(209000.0, 230000.0]"
1.0,2.4203319502074687,174000.0,1661.0,2.0,105.0,40.48049169999999,-3.3930413,True,"(165000.0, 178000.0]"
2.0,8.0,147260.0,3272.0,2.0,45.0,40.3864562,-3.6996399,False,"(143417.5, 155000.0]"
2.0,1.0,410000.0,4100.0,2.0,100.0,40.44906659999999,-3.7033501,False,"(380000.0, 450000.0]"
2.0,7.0,765000.0,10200.0,2.0,75.0,40.43256239999999,-3.679470999999999,False,"(715000.0, 1095000.0]"
1.0,0.0,101170.0,1806.0,2.0,56.0,40.4329561,-3.619044799999999,False,"(93000.0, 110000.0]"
2.0,3.0,885000.0,5531.000000000002,4.0,160.0,40.4468241,-3.7109836,False,"(715000.0, 1095000.0]"
1.0,5.0,129000.0,6142.0,1.0,21.0,40.4233716,-3.7077922,False,"(124000.0, 133900.0]"
2.0,6.0,480000.0,3609.0,3.0,133.0,40.4476716,-3.6719187,False,"(450000.0, 550000.0]"
2.0,2.0,170600.0,1983.0,3.0,86.0,40.215664,-3.5828738,False,"(165000.0, 178000.0]"
2.0,3.0,500000.0,5102.0,2.0,98.0,40.4249584,-3.6709023,False,"(450000.0, 550000.0]"
3.0,5.0,1800000.0,10777.999999999998,3.0,167.0,40.432906,-3.6834876,False,"(1095000.0, 19220600.0]"
1.0,2.4203319502074687,245000.0,3266.0,3.0,75.0,40.4786845,-3.644007199999999,True,"(230000.0, 257000.0]"
3.0,4.0,605000.0,2552.0,3.0,237.0,40.4285619,-3.7183692,False,"(550000.0, 715000.0]"
2.0,1.0,180000.0,1651.0,3.0,109.0,40.5016132,-3.3693586,False,"(178000.0, 190000.0]"
2.0,5.0,490000.0,4298.0,3.0,114.0,40.4039134,-3.6825287,False,"(450000.0, 550000.0]"
2.0,1.0,261700.0,2038.0000000000002,3.0,128.0,40.48028619999999,-3.3751971,False,"(257000.0, 288800.0]"
2.0,2.0,515000.0,6688.0,2.0,77.0,40.4288066,-3.6920336,False,"(450000.0, 550000.0]"
1.0,2.4203319502074687,142050.0,2492.0,2.0,57.0,40.4023233,-3.6059715,True,"(133900.0, 143417.5]"
1.0,2.4203319502074687,96000.0,6400.0,1.0,15.0,40.4315553,-3.6996448,True,"(93000.0, 110000.0]"
1.0,2.0,175000.0,2397.0,3.0,73.0,40.4023196,-3.6483095,False,"(165000.0, 178000.0]"
2.0,7.0,800000.0,5000.0,3.0,160.0,40.4414898,-3.6972318,False,"(715000.0, 1095000.0]"
3.0,2.4203319502074687,550000.0,3293.0,5.0,167.0,40.4104594,-3.6669526,True,"(450000.0, 550000.0]"
2.0,3.0,310000.0,2767.0,3.0,112.0,40.4361054,-3.648656,False,"(288800.0, 330000.0]"
2.0,1.0,285000.0,2005.0,4.0,142.0,40.4511899,-3.45907,False,"(257000.0, 288800.0]"
1.0,1.0,130000.0,2000.0,3.0,65.0,40.3754163,-3.7309677,False,"(124000.0, 133900.0]"
4.0,2.4203319502074687,985000.0,5382.000000000002,3.0,183.0,40.427922,-3.7217838,True,"(715000.0, 1095000.0]"
2.0,2.0,209000.0,1916.9999999999998,4.0,109.0,40.185129,-3.6781305,False,"(190000.0, 209000.0]"
1.0,2.0,112000.0,2195.9999999999995,2.0,51.0,40.3975455,-3.7701702,False,"(110000.0, 124000.0]"
1.0,3.0,178000.0,2170.0,3.0,82.0,40.4739758,-3.5800038,False,"(165000.0, 178000.0]"
1.0,2.0,314000.0,5607.0,2.0,56.0,40.4357763,-3.6991079,False,"(288800.0, 330000.0]"
3.0,2.0,1450000.0,7474.0,4.0,194.0,40.4289896,-3.681209,False,"(1095000.0, 19220600.0]"
1.0,1.0,140000.0,1944.0,2.0,72.0,40.455723,-3.4541421,False,"(133900.0, 143417.5]"
1.0,6.0,199000.0,2842.0,3.0,70.0,40.4360276,-3.6573575,False,"(190000.0, 209000.0]"
1.0,2.4203319502074687,150000.0,3947.0,1.0,38.0,40.423032,-3.698351999999999,True,"(143417.5, 155000.0]"
2.0,2.4203319502074687,204000.0,2487.0,3.0,82.0,40.5492729,-3.6225677,True,"(190000.0, 209000.0]"
1.0,1.0,169000.0,2315.0,3.0,73.0,40.3829439,-3.7332451,False,"(165000.0, 178000.0]"
1.0,2.4203319502074687,190000.0,2261.0,3.0,84.0,40.413352,-3.6974619,True,"(178000.0, 190000.0]"
1.0,2.4203319502074687,129000.0,1841.9999999999998,3.0,70.0,40.3486473,-3.8239202,True,"(124000.0, 133900.0]"
2.0,3.0,265154.0,2549.0,3.0,104.0,40.3600866,-3.593182399999999,False,"(257000.0, 288800.0]"
1.0,0.0,330000.0,2356.9999999999995,2.0,140.0,40.4104843,-3.7015722,False,"(288800.0, 330000.0]"
2.0,2.0,265154.0,2549.0,3.0,104.0,40.3600866,-3.593182399999999,False,"(257000.0, 288800.0]"
1.0,1.0,190000.0,3166.0000000000005,3.0,60.0,40.45038599999999,-3.7009405,False,"(178000.0, 190000.0]"
2.0,3.0,160000.0,1739.0,3.0,92.0,40.621253,-3.915383,False,"(155000.0, 165000.0]"
1.0,2.4203319502074687,123000.0,1892.0,2.0,65.0,40.4521044,-3.4586292,True,"(110000.0, 124000.0]"
2.0,2.4203319502074687,299900.0,1518.0,3.0,198.0,40.4970656,-3.3762217,True,"(288800.0, 330000.0]"
2.0,2.4203319502074687,228600.0,2263.0,3.0,101.0,40.4056639,-3.5525456,True,"(209000.0, 230000.0]"
1.0,2.4203319502074687,164000.0,3280.0,2.0,50.0,40.5485317,-3.6242495,True,"(155000.0, 165000.0]"
1.0,2.4203319502074687,167000.0,1656.0,2.0,101.0,40.48049169999999,-3.3930413,True,"(165000.0, 178000.0]"
1.0,7.0,301700.0,6419.0,1.0,47.0,40.4704022,-3.6687272,False,"(288800.0, 330000.0]"
2.0,2.0,255000.0,2833.0,2.0,90.0,40.3501211,-3.8078154,False,"(230000.0, 257000.0]"
3.0,2.4203319502074687,172000.0,1622.0,3.0,106.0,40.8114262,-3.7657848,True,"(165000.0, 178000.0]"
2.0,0.0,224000.0,1982.0,3.0,113.0,40.6411802,-3.9901547,False,"(209000.0, 230000.0]"
2.0,2.0,250000.0,1315.0,3.0,190.0,40.6027929,-4.0558728,False,"(230000.0, 257000.0]"
2.0,2.4203319502074687,217000.0,2021.0,3.0,107.0,40.1960401,-3.6649309,True,"(209000.0, 230000.0]"
1.0,2.4203319502074687,117000.0,2659.0,2.0,44.0,40.3913419,-3.7450891,True,"(110000.0, 124000.0]"
2.0,2.4203319502074687,172000.0,1645.0,2.0,105.0,40.48049169999999,-3.3930413,True,"(165000.0, 178000.0]"
2.0,3.0,184000.0,1739.0,3.0,106.0,40.30119,-3.4506114,False,"(178000.0, 190000.0]"
1.0,1.0,79500.0,1806.0,1.0,44.0,40.3448468,-3.710578,False,"(19999.999, 93000.0]"
2.0,5.0,235000.0,2611.0,3.0,90.0,40.3542,-3.6866966,False,"(230000.0, 257000.0]"
2.0,1.0,140000.0,1473.0,3.0,95.0,40.024191,-3.6158565,False,"(133900.0, 143417.5]"
2.0,2.4203319502074687,451000.0,3370.0,3.0,134.0,40.5533799,-3.658450199999999,True,"(450000.0, 550000.0]"
2.0,1.0,383000.0,2992.0,3.0,128.0,40.4090869,-3.8946981,False,"(380000.0, 450000.0]"
1.0,2.4203319502074687,206000.0,2102.0,3.0,98.0,40.6710329,-3.7733606,True,"(190000.0, 209000.0]"
1.0,2.4203319502074687,139000.0,2526.9999999999995,1.0,55.0,40.4043614,-3.591460399999999,True,"(133900.0, 143417.5]"
2.0,2.4203319502074687,349000.0,2566.0000000000005,3.0,136.0,40.5594119,-3.6446641,True,"(330000.0, 380000.0]"
1.0,2.0,175000.0,2187.0,3.0,80.0,40.4939124,-3.3972739,False,"(165000.0, 178000.0]"
1.0,0.0,97795.0,897000.0,1.0,109.0,40.7639547,-3.7445988,False,"(93000.0, 110000.0]"
1.0,2.4203319502074687,109000.0,1815.9999999999998,2.0,60.0,40.3319506,-3.7686545,True,"(93000.0, 110000.0]"
1.0,2.4203319502074687,166000.0,1651.0,2.0,101.0,40.48049169999999,-3.3930413,True,"(165000.0, 178000.0]"
1.0,0.0,185000.0,1681.0,3.0,110.0,40.4213907,-3.5303489,False,"(178000.0, 190000.0]"
1.0,2.4203319502074687,270000.0,3000.0,3.0,90.0,40.4786845,-3.644007199999999,True,"(257000.0, 288800.0]"
